Germplasms	Grades	 MFV_GR	 MFV_GI	 MFV_GE	 MFV_RL	 MFV_GVI	 MFV_FW	 MFV_WC	Mean_MFV	STI_GR	STI_GI	STI_GE	STI_RL	STI_GVI	STI_FW	STI_WC	GR	GI	GE	RL	GVI	WC_C	WC_T	WCR	FW_C	DW_C	DvsF_C	FW_T	DW_T	DvsF_T	FWR	DWR
152068	SS	0.181818182	0.09043508	0	0.205823798	0.030937689	0.047985716	0.043940179	0.085848663	0.181818182	0.088321229	0	0.138287865	0.012213754	0.057623136	0.071229547	0.181818182	0.088321229	0	0.138287865	0.012213754	3.3736	0.1537	21.94925179	4.1702	0.7966	0.191022013	0.2403	0.0866	0.360382855	0.057623136	0.108712026
152069	HSS	0.090909091	0.022879448	0	0.167885789	0.006384323	0	0	0.041151236	0.090909091	0.022344659	0	0.112798265	0.002520439	0	0	0.090909091	0.022344659	0	0.112798265	0.002520439	1.8536	0	NA	2.6751	0.8215	0.307091324	0	0	NA	0	0
152071	MST	0.393939394	0.246845101	0	0.217743325	0.089335632	0.213982235	0.185043139	0.192412689	0.393939394	0.241075285	0	0.146296296	0.035268421	0.256958287	0.299965526	0.393939394	0.241075285	0	0.146296296	0.035268421	2.3206	0.5504	4.216206395	2.709	0.3884	0.143373939	0.6961	0.1457	0.209309007	0.256958287	0.375128733
152075	MST	0.393939394	0.210602283	0	0.217582805	0.076162817	0.189372288	0.157311627	0.17785303	0.393939394	0.205679615	0	0.146188447	0.030067984	0.227405694	0.255011157	0.393939394	0.205679615	0	0.146188447	0.030067984	5.2433	0.8943	5.863021357	5.8798	0.6365	0.108251981	1.3371	0.4428	0.33116446	0.227405694	0.695679497
152076	MST	0.575757576	0.346810269	0.032258065	0.22432625	0.129308597	0.19180416	0.162444398	0.237529902	0.575757576	0.338703843	0.03030303	0.150719199	0.051049172	0.230325982	0.263331672	0.575757576	0.338703843	0.03030303	0.150719199	0.051049172	6.4208	1.0733	5.982297587	7.3409	0.9201	0.125338855	1.6908	0.6175	0.365211734	0.230325982	0.671122704
152077	HSS	0.03030303	0.013078041	0	0.073422161	0.001595972	0	0	0.016914172	0.03030303	0.012772352	0	0.049330514	0.000630067	0	0	0.03030303	0.012772352	0	0.049330514	0.000630067	4.002	0	NA	4.5563	0.5543	0.121655729	0	0	NA	0	0
152078	SS	0.154545455	0.109180272	0.064516129	0.317291703	0.057578221	0.145131771	0.146162936	0.142058069	0.154545455	0.106628266	0.060606061	0.213180363	0.022731052	0.174279941	0.23693849	0.154545455	0.106628266	0.060606061	0.213180363	0.022731052	1.8566	0.2919	6.360397396	2.5241	0.6675	0.264450695	0.4399	0.148	0.3364401	0.174279941	0.221722846
152079	MST	0.272727273	0.123685785	0	0.49801178	0.102379914	0.112176954	0.116640224	0.175088847	0.272727273	0.120794724	0	0.334601665	0.040418116	0.1347065	0.189080483	0.272727273	0.120794724	0	0.334601665	0.040418116	2.5111	0.2312	10.86115917	3.5247	1.0136	0.287570573	0.4748	0.2436	0.51305813	0.1347065	0.240331492
152082	MST	0.333333333	0.178761718	0	0.387721595	0.115199306	0.147526512	0.145774358	0.186902403	0.333333333	0.174583299	0	0.260500447	0.045479027	0.17715564	0.236308583	0.333333333	0.174583299	0	0.260500447	0.045479027	2.2788	0.2077	10.97159364	3.0397	0.7609	0.250320755	0.5385	0.3308	0.614298979	0.17715564	0.434748324
152084	MST	0.424242424	0.27882725	0.064516129	0.394644116	0.182892628	0.150717677	0.139587399	0.233632518	0.424242424	0.272309876	0.060606061	0.265151515	0.072203376	0.180987717	0.226279168	0.424242424	0.272309876	0.060606061	0.265151515	0.072203376	2.8456	0.3922	7.255481897	3.5577	0.7121	0.200157405	0.6439	0.2517	0.390899208	0.180987717	0.353461592
152087	MST	0.184848485	0.046254598	0	0.536715997	0.04126243	0.188686588	0.189110741	0.16955412	0.184848485	0.045173432	0	0.360606061	0.016289813	0.226582278	0.306559342	0.184848485	0.045173432	0	0.360606061	0.016289813	2.3356	0.4348	5.371665133	3.16	0.8244	0.260886076	0.716	0.2812	0.39273743	0.226582278	0.341096555
152088	SS	0.090909091	0.039234123	0	0.284926592	0.018580281	0.054058993	0.048185783	0.076556409	0.090909091	0.038317055	0	0.191435054	0.007335227	0.064916166	0.078111915	0.090909091	0.038317055	0	0.191435054	0.007335227	2.627	0.0946	27.76955603	3.161	0.534	0.168933882	0.2052	0.1106	0.538986355	0.064916166	0.207116105
152089	SS	0.166666667	0.111996862	0.035483871	0.359168403	0.066858916	0	0	0.105739245	0.166666667	0.109379021	0.033333333	0.241316271	0.026394937	0	0	0.166666667	0.109379021	0.033333333	0.241316271	0.026394937	1.4197	0	NA	1.9362	0.5165	0.266759632	0	0	NA	0	0
152092	SS	0.124242424	0.078993086	0	0.146423633	0.019224525	0.089086687	0.118146974	0.082302476	0.124242424	0.077146683	0	0.098378378	0.007589566	0.106978799	0.191523011	0.124242424	0.077146683	0	0.098378378	0.007589566	0.6323	0.0382	16.55235602	1.132	0.4997	0.441431095	0.1211	0.0829	0.684558216	0.106978799	0.16589954
152094	HSS	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1.3673	0	NA	2.0536	0.6863	0.334193611	0	0	NA	0	0
152096	HSS	0.03030303	0.001771665	0	0.105772636	0.000311466	0	0	0.019736971	0.03030303	0.001730253	0	0.07106599	0.000122962	0	0	0.03030303	0.001730253	0	0.07106599	0.000122962	1.0023	0	NA	1.0909	0.0886	0.081217343	0	0	NA	0	0
152097	SS	0.060606061	0.025158845	0	0.511992228	0.021409643	0	0	0.088452397	0.060606061	0.024570777	0	0.343994778	0.008452219	0	0	0.060606061	0.024570777	0	0.343994778	0.008452219	4.0334	0	NA	4.5872	0.5538	0.120727241	0	0	NA	0	0
152101	MST	0.727272727	0.517309172	0.161290323	0.261438514	0.224789022	0.535602754	0.455019377	0.411817413	0.727272727	0.505217464	0.151515152	0.175654001	0.088743469	0.643172861	0.73761247	0.727272727	0.505217464	0.151515152	0.175654001	0.088743469	4.7346	2.8212	1.678222033	5.4298	0.6952	0.128034182	3.4923	0.6711	0.192165622	0.643172861	0.965333717
152103	MST	0.415151515	0.306818866	0.107168459	0.445623158	0.227250667	0.565657832	0.507872737	0.367934748	0.415151515	0.299647209	0.100673401	0.299403059	0.089715291	0.679264181	0.823290794	0.415151515	0.299647209	0.100673401	0.299403059	0.089715291	3.3773	2.3141	1.459444276	4.0934	0.7161	0.174940148	2.7805	0.4664	0.167739615	0.679264181	0.651305684
152104	SS	0.127272727	0.081740339	0	0.467477275	0.063511489	0	0	0.105714547	0.127272727	0.079829721	0	0.314086294	0.025073421	0	0	0.127272727	0.079829721	0	0.314086294	0.025073421	3.2835	0	NA	3.7809	0.4974	0.131555979	0	0	NA	0	0
152106	MST	0.96969697	0.609966664	0	0.222295279	0.22536771	0.348877864	0.286171996	0.380339498	0.96969697	0.595709158	0	0.14935464	0.088971927	0.418946267	0.463901195	0.96969697	0.595709158	0	0.14935464	0.088971927	7.7648	2.8909	2.685945553	8.598	0.8332	0.096906257	3.6021	0.7112	0.197440382	0.418946267	0.853576572
152108	MST	0.515151515	0.266404536	0	0.216272767	0.095763234	0.213633924	0.174094483	0.211617209	0.515151515	0.260177533	0	0.145308266	0.037805946	0.256540022	0.282217128	0.515151515	0.260177533	0	0.145308266	0.037805946	9.7712	2.0279	4.818383549	10.7492	0.978	0.090983515	2.7576	0.7297	0.264614157	0.256540022	0.746114519
152109	MST	0.818181818	0.552554349	0.129032258	0.343525554	0.315492764	0.292902913	0.24798469	0.385667764	0.818181818	0.539638812	0.121212121	0.230806231	0.124552001	0.351729343	0.401997385	0.818181818	0.539638812	0.121212121	0.230806231	0.124552001	7.4197	2.3173	3.201872869	8.4801	1.0604	0.125045695	2.9827	0.6654	0.223086465	0.351729343	0.627499057
152113	MST	0.781818182	0.440128786	0.035483871	0.296466937	0.216875949	0.330963221	0.267943015	0.338525709	0.781818182	0.429841111	0.033333333	0.199188723	0.085619502	0.397433658	0.434350973	0.781818182	0.429841111	0.033333333	0.199188723	0.085619502	5.7617	2.0711	2.78195162	6.2969	0.5352	0.084994203	2.5026	0.4315	0.172420682	0.397433658	0.806240658
152114	MST	0.757575758	0.473145853	0.032258065	0.212492758	0.167106955	0.294219758	0.23984323	0.310948911	0.757575758	0.462086429	0.03030303	0.142768572	0.065971419	0.353310662	0.388799613	0.757575758	0.462086429	0.03030303	0.142768572	0.065971419	4.5427	1.289	3.52420481	4.999	0.4563	0.091278256	1.7662	0.4772	0.270184577	0.353310662	1.0458032
152118	ST	0.811447811	0.509980277	0.064516129	0.570471148	0.483551148	0.494339155	0.416090282	0.478627993	0.811447811	0.498059876	0.060606061	0.383285303	0.19089903	0.593621908	0.674506177	0.811447811	0.498059876	0.060606061	0.383285303	0.19089903	3.0274	1.6823	1.799560126	3.4399	0.4125	0.119916277	2.042	0.3597	0.176150833	0.593621908	0.872
152119	MST	0.636363636	0.370373536	0	0.206315189	0.127006662	0.305376905	0.252781252	0.271173883	0.636363636	0.361716337	0	0.138618017	0.050140401	0.366708603	0.409772887	0.636363636	0.361716337	0	0.138618017	0.050140401	4.1257	1.2942	3.187838047	4.6102	0.4845	0.105093055	1.6906	0.3964	0.234472968	0.366708603	0.818163055
152120	MST	0.303030303	0.18064222	0	0.227939502	0.068437512	0.131300039	0.111681137	0.146147245	0.303030303	0.176419846	0	0.153146853	0.027018144	0.157670253	0.181041519	0.303030303	0.176419846	0	0.153146853	0.027018144	3.6754	0.4477	8.2095153	4.2202	0.5448	0.129093408	0.6654	0.2177	0.327171626	0.157670253	0.399596182
152123	MST	0.848484848	0.507792689	0.064516129	0.156301976	0.13191867	0.21617419	0.184619312	0.301401116	0.848484848	0.495923422	0.060606061	0.10501539	0.052079592	0.259590474	0.299278479	0.848484848	0.495923422	0.060606061	0.10501539	0.052079592	5.5577	0.979	5.67691522	6.4074	0.8497	0.132612292	1.6633	0.6843	0.41141105	0.259590474	0.805343062
152124	SS	0.303030303	0.146935636	0	0.134029324	0.032732737	0.122394542	0.105925672	0.120721173	0.303030303	0.143501127	0	0.090050952	0.012922413	0.146976182	0.171711581	0.303030303	0.143501127	0	0.090050952	0.012922413	5.2396	0.5328	9.834084084	6.1214	0.8818	0.144052014	0.8997	0.3669	0.407802601	0.146976182	0.416080744
152125	MST	0.848484848	0.525742941	0.032258065	0.219986968	0.192232032	0.361245368	0.318146888	0.356871016	0.848484848	0.5134541	0.03030303	0.147803744	0.075890438	0.433797652	0.515734327	0.848484848	0.5134541	0.03030303	0.147803744	0.075890438	2.8441	0.9613	2.958597732	3.3813	0.5372	0.158873806	1.4668	0.5055	0.344627761	0.433797652	0.94099032
152126	SS	0.272727273	0.171553124	0	0.208485965	0.059447119	0.057322583	0.047461476	0.116713934	0.272727273	0.167543201	0	0.140076508	0.023468866	0.068835213	0.076937771	0.272727273	0.167543201	0	0.140076508	0.023468866	4.7116	0.2347	20.07498935	5.2662	0.5546	0.105313129	0.3625	0.1278	0.352551724	0.068835213	0.230436351
